# biscuits competitive policy: symmetric Nash equilibrium policy for 3 players
# state = (a6,a8,a10,a12) dice in hand; g = penalty points already banked this game.
# U = expected win-share (probability of having the lowest score) from (state,g) under this policy.
# OPTIMAL MOVE at (state,g) for a roll: keep the subset K maximizing U[K][g + banked_penalty(K)].
# only reachable g (0..87-maxRemaining) are listed.
a6,a8,a10,a12,g,U
0,0,0,0,0,0.9984506726
0,0,0,0,1,0.9880007117
0,0,0,0,2,0.9543702376
0,0,0,0,3,0.8817850507
0,0,0,0,4,0.7664880856
0,0,0,0,5,0.6204133508
0,0,0,0,6,0.4653949832
0,0,0,0,7,0.3257842669
0,0,0,0,8,0.2143107871
0,0,0,0,9,0.1359196816
0,0,0,0,10,0.08436780622
0,0,0,0,11,0.04982238226
0,0,0,0,12,0.02783741646
0,0,0,0,13,0.01473043168
0,0,0,0,14,0.00751568451
0,0,0,0,15,0.003709592654
0,0,0,0,16,0.001768536153
0,0,0,0,17,0.0008118404766
0,0,0,0,18,0.0003575658583
0,0,0,0,19,0.0001511725868
0,0,0,0,20,6.110132404e-05
0,0,0,0,21,2.340519548e-05
0,0,0,0,22,8.46521896e-06
0,0,0,0,23,2.883069546e-06
0,0,0,0,24,9.121049145e-07
0,0,0,0,25,2.654023703e-07
0,0,0,0,26,7.231183486e-08
0,0,0,0,27,1.851791529e-08
0,0,0,0,28,4.448965041e-09
0,0,0,0,29,9.994941046e-10
0,0,0,0,30,2.084740074e-10
0,0,0,0,31,4.011050422e-11
0,0,0,0,32,7.119856376e-12
0,0,0,0,33,1.161882558e-12
0,0,0,0,34,1.73614641e-13
0,0,0,0,35,2.367112159e-14
0,0,0,0,36,2.936582054e-15
0,0,0,0,37,3.305305609e-16
0,0,0,0,38,3.367324301e-17
0,0,0,0,39,3.099964857e-18
0,0,0,0,40,2.573653652e-19
0,0,0,0,41,1.922964517e-20
0,0,0,0,42,1.290747328e-21
0,0,0,0,43,7.768686968e-23
0,0,0,0,44,4.184013719e-24
0,0,0,0,45,2.011256359e-25
0,0,0,0,46,8.60779182e-27
0,0,0,0,47,3.269658072e-28
0,0,0,0,48,1.098501544e-29
0,0,0,0,49,3.252867872e-31
0,0,0,0,50,8.460911397e-33
0,0,0,0,51,1.92688659e-34
0,0,0,0,52,3.830684396e-36
0,0,0,0,53,6.628422129e-38
0,0,0,0,54,9.952564333e-40
0,0,0,0,55,1.292326911e-41
0,0,0,0,56,1.445531537e-43
0,0,0,0,57,1.386776653e-45
0,0,0,0,58,1.135790444e-47
0,0,0,0,59,7.904315205e-50
0,0,0,0,60,4.652462822e-52
0,0,0,0,61,2.305300621e-54
