# bitches competitive policy: symmetric Nash equilibrium policy for 4 players
# state = (a6,a8,a10,a12) dice in hand; g = penalty points already banked this game.
# U = expected win-share (probability of having the lowest score) from (state,g) under this policy.
# OPTIMAL MOVE at (state,g) for a roll: keep the subset K maximizing U[K][g + banked_penalty(K)].
# only reachable g (0..87-maxRemaining) are listed.
a6,a8,a10,a12,g,U
0,0,0,0,0,0.9974394635
0,0,0,0,1,0.9807315946
0,0,0,0,2,0.9292506927
0,0,0,0,3,0.8227537439
0,0,0,0,4,0.6633341376
0,0,0,0,5,0.4791641922
0,0,0,0,6,0.3089485324
0,0,0,0,7,0.1870691087
0,0,0,0,8,0.1089688077
0,0,0,0,9,0.05837394419
0,0,0,0,10,0.02881546284
0,0,0,0,11,0.01316447202
0,0,0,0,12,0.005621503442
0,0,0,0,13,0.002263276092
0,0,0,0,14,0.0008674203657
0,0,0,0,15,0.0003178543933
0,0,0,0,16,0.0001109341109
0,0,0,0,17,3.651537482e-05
0,0,0,0,18,1.120031938e-05
0,0,0,0,19,3.159033336e-06
0,0,0,0,20,8.085846298e-07
0,0,0,0,21,1.876735688e-07
0,0,0,0,22,3.932098845e-08
0,0,0,0,23,7.434096283e-09
0,0,0,0,24,1.271651441e-09
0,0,0,0,25,1.966984102e-10
0,0,0,0,26,2.751325772e-11
0,0,0,0,27,3.487675935e-12
0,0,0,0,28,4.002624188e-13
0,0,0,0,29,4.144217769e-14
0,0,0,0,30,3.851745148e-15
0,0,0,0,31,3.195129946e-16
0,0,0,0,32,2.349438478e-17
0,0,0,0,33,1.52096706e-18
0,0,0,0,34,8.617697337e-20
0,0,0,0,35,4.257017382e-21
0,0,0,0,36,1.824723229e-22
0,0,0,0,37,6.759716859e-24
0,0,0,0,38,2.15768713e-25
0,0,0,0,39,5.924833511e-27
0,0,0,0,40,1.397069084e-28
0,0,0,0,41,2.822678175e-30
0,0,0,0,42,4.872454926e-32
0,0,0,0,43,7.162049713e-34
0,0,0,0,44,8.931399411e-36
0,0,0,0,45,9.411419095e-38
0,0,0,0,46,8.344296037e-40
0,0,0,0,47,6.197224597e-42
0,0,0,0,48,3.837983658e-44
0,0,0,0,49,1.972803313e-46
0,0,0,0,50,8.376006516e-49
0,0,0,0,51,2.922350802e-51
0,0,0,0,52,8.332355695e-54
0,0,0,0,53,1.93003535e-56
0,0,0,0,54,3.609269458e-59
0,0,0,0,55,5.414804071e-62
0,0,0,0,56,6.476547851e-65
0,0,0,0,57,6.138325265e-68
0,0,0,0,58,4.582191521e-71
0,0,0,0,59,2.677512828e-74
0,0,0,0,60,1.216772895e-77
0,0,0,0,61,4.270781804e-81
0,0,0,0,62,1.149257627e-84
0,0,0,0,63,2.352320402e-88
0,0,0,0,64,3.63073363e-92
0,0,0,0,65,4.185180417e-96
0,0,0,0,66,3.563067774e-100
0,0,0,0,67,2.211455606e-104
0,0,0,0,68,9.856009652e-109
0,0,0,0,69,3.099805824e-113
0,0,0,0,70,6.74468187e-118
0,0,0,0,71,9.92458453e-123
0,0,0,0,72,9.619759718e-128
0,0,0,0,73,5.956829474e-133
0,0,0,0,74,2.273745468e-138
0,0,0,0,75,5.130944616e-144
0,0,0,0,76,6.517892584e-150
0,0,0,0,77,4.399493546e-156
0,0,0,0,78,1.473253009e-162
0,0,0,0,79,2.253103192e-169
0,0,0,0,80,1.421236282e-176
0,0,0,0,81,3.251688191e-184
0,0,0,0,82,2.285950589e-192
0,0,0,0,83,3.982865167e-201
0,0,0,0,84,1.318929246e-210
0,0,0,0,85,6.104164102e-221
0,0,0,0,86,2.643182995e-232
0,0,0,0,87,0
0,0,0,1,0,0.4648345127
0,0,0,1,1,0.382183016
0,0,0,1,2,0.3006439895
0,0,0,1,3,0.2232787168
0,0,0,1,4,0.1547423927
0,0,0,1,5,0.09947379236
0,0,0,1,6,0.05954648596
0,0,0,1,7,0.03380170829
0,0,0,1,8,0.01821287915
0,0,0,1,9,0.009132212564
0,0,0,1,10,0.004267732854
0,0,0,1,11,0.001866447561
0,0,0,1,12,0.0007694088454
0,0,0,1,13,0.0003009503312
0,0,0,1,14,0.0001123440066
0,0,0,1,15,4.005897841e-05
0,0,0,1,16,1.357111259e-05
0,0,0,1,17,4.326603381e-06
0,0,0,1,18,1.283655482e-06
0,0,0,1,19,3.502955347e-07
0,0,0,1,20,8.704275667e-08
0,0,0,1,21,1.966070418e-08
0,0,0,1,22,4.021240119e-09
0,0,0,1,23,7.444910808e-10
0,0,0,1,24,1.249830572e-10
0,0,0,1,25,1.901210374e-11
0,0,0,1,26,2.620569551e-12
0,0,0,1,27,3.277980746e-13
0,0,0,1,28,3.715841339e-14
0,0,0,1,29,3.803211818e-15
0,0,0,1,30,3.496970098e-16
0,0,0,1,31,2.871824749e-17
0,0,0,1,32,2.092164607e-18
0,0,0,1,33,1.342992087e-19
0,0,0,1,34,7.551953719e-21
0,0,0,1,35,3.705392715e-22
0,0,0,1,36,1.578782299e-23
0,0,0,1,37,5.817960821e-25
0,0,0,1,38,1.84863438e-26
0,0,0,1,39,5.056177123e-28
0,0,0,1,40,1.188158636e-29
0,0,0,1,41,2.393439963e-31
0,0,0,1,42,4.120815049e-33
0,0,0,1,43,6.04359438e-35
0,0,0,1,44,7.521961889e-37
0,0,0,1,45,7.912904696e-39
0,0,0,1,46,7.005545053e-41
0,0,0,1,47,5.196502129e-43
0,0,0,1,48,3.214829787e-45
0,0,0,1,49,1.651007189e-47
0,0,0,1,50,7.004427951e-50
0,0,0,1,51,2.442252078e-52
0,0,0,1,52,6.959743496e-55
0,0,0,1,53,1.611375034e-57
0,0,0,1,54,3.012242288e-60
0,0,0,1,55,4.517738968e-63
0,0,0,1,56,5.402242301e-66
0,0,0,1,57,5.119091779e-69
0,0,0,1,58,3.82072521e-72
0,0,0,1,59,2.232275023e-75
0,0,0,1,60,1.014333407e-78
0,0,0,1,61,3.559942747e-82
0,0,0,1,62,9.579107462e-86
0,0,0,1,63,1.960569598e-89
0,0,0,1,64,3.025960153e-93
0,0,0,1,65,3.487947288e-97
0,0,0,1,66,2.969407441e-101
0,0,0,1,67,1.842961808e-105
0,0,0,1,68,8.2135997e-110
0,0,0,1,69,2.583227726e-114
0,0,0,1,70,5.620650931e-119
0,0,0,1,71,8.270567274e-124
0,0,0,1,72,8.016516072e-129
0,0,0,1,73,4.964043509e-134
0,0,0,1,74,1.894792166e-139
0,0,0,1,75,4.275792612e-145
0,0,0,1,76,5.431580819e-151
0,0,1,0,0,0.5536034217
0,0,1,0,1,0.4567410217
0,0,1,0,2,0.3599843094
0,0,1,0,3,0.2676213905
0,0,1,0,4,0.1855723437
0,0,1,0,5,0.119325672
0,0,1,0,6,0.07144103821
0,0,1,0,7,0.04055727838
0,0,1,0,8,0.02185401905
0,0,1,0,9,0.01095825831
0,0,1,0,10,0.005121179799
0,0,1,0,11,0.002239714374
0,0,1,0,12,0.000923285939
0,0,1,0,13,0.0003611395269
0,0,1,0,14,0.0001348126611
0,0,1,0,15,4.807075167e-05
0,0,1,0,16,1.628533201e-05
0,0,1,0,17,5.191923668e-06
0,0,1,0,18,1.540386535e-06
0,0,1,0,19,4.203546371e-07
0,0,1,0,20,1.044513076e-07
0,0,1,0,21,2.359284499e-08
0,0,1,0,22,4.82548814e-09
0,0,1,0,23,8.933892967e-10
0,0,1,0,24,1.499796686e-10
0,0,1,0,25,2.281452448e-11
0,0,1,0,26,3.144683461e-12
0,0,1,0,27,3.933576896e-13
0,0,1,0,28,4.459009606e-14
0,0,1,0,29,4.563854181e-15
0,0,1,0,30,4.196364118e-16
0,0,1,0,31,3.446189699e-17
0,0,1,0,32,2.510597528e-18
0,0,1,0,33,1.611590505e-19
0,0,1,0,34,9.062344463e-21
0,0,1,0,35,4.446471258e-22
0,0,1,0,36,1.894538759e-23
0,0,1,0,37,6.981552985e-25
0,0,1,0,38,2.218361256e-26
0,0,1,0,39,6.067412547e-28
0,0,1,0,40,1.425790363e-29
0,0,1,0,41,2.872127956e-31
0,0,1,0,42,4.944978059e-33
0,0,1,0,43,7.252313256e-35
0,0,1,0,44,9.026354267e-37
0,0,1,0,45,9.495485635e-39
0,0,1,0,46,8.406654063e-41
0,0,1,0,47,6.235802555e-43
0,0,1,0,48,3.857795744e-45
0,0,1,0,49,1.981208626e-47
0,0,1,0,50,8.405313541e-50
0,0,1,0,51,2.930702494e-52
0,0,1,0,52,8.351692195e-55
0,0,1,0,53,1.933650041e-57
0,0,1,0,54,3.614690745e-60
0,0,1,0,55,5.421286761e-63
0,0,1,0,56,6.482690761e-66
0,0,1,0,57,6.142910135e-69
0,0,1,0,58,4.584870251e-72
0,0,1,0,59,2.678730028e-75
0,0,1,0,60,1.217200088e-78
0,0,1,0,61,4.271931296e-82
0,0,1,0,62,1.149492895e-85
0,0,1,0,63,2.352683517e-89
0,0,1,0,64,3.631152184e-93
0,0,1,0,65,4.185536746e-97
0,0,1,0,66,3.563288929e-101
0,0,1,0,67,2.211554169e-105
0,0,1,0,68,9.85631964e-110
0,0,1,0,69,3.099873272e-114
0,0,1,0,70,6.744781117e-119
